set_num,name,year,theme_id,num_parts,set_img_url,set_url
60061-1,Airport Fire Truck,2014,53,326,https://cdn.rebrickable.com/media/sets/60061-1/14765.jpg,https://rebrickable.com/sets/60061-1/airport-fire-truck/
75059-1,Sandcrawler,2014,171,3296,https://cdn.rebrickable.com/media/sets/75059-1/824.jpg,https://rebrickable.com/sets/75059-1/sandcrawler/
10241-1,Maersk Line Triple-E,2014,673,1518,https://cdn.rebrickable.com/media/sets/10241-1/13792.jpg,https://rebrickable.com/sets/10241-1/maersk-line-triple-e/
31025-1,Mountain Hut,2014,672,550,https://cdn.rebrickable.com/media/sets/31025-1/1401.jpg,https://rebrickable.com/sets/31025-1/mountain-hut/
41038-1,Jungle Rescue Base,2014,494,500,https://cdn.rebrickable.com/media/sets/41038-1/6851.jpg,https://rebrickable.com/sets/41038-1/jungle-rescue-base/
31023-1,Yellow Racers,2014,672,328,https://cdn.rebrickable.com/media/sets/31023-1/5634.jpg,https://rebrickable.com/sets/31023-1/yellow-racers/
70727-1,X-1 Ninja Charger,2014,435,426,https://cdn.rebrickable.com/media/sets/70727-1/9213.jpg,https://rebrickable.com/sets/70727-1/x-1-ninja-charger/
75051-1,Jedi Scout Fighter,2014,158,490,https://cdn.rebrickable.com/media/sets/75051-1/3070.jpg,https://rebrickable.com/sets/75051-1/jedi-scout-fighter/
10674-1,Pony Farm,2014,591,306,https://cdn.rebrickable.com/media/sets/10674-1/6434.jpg,https://rebrickable.com/sets/10674-1/pony-farm/
60064-1,Arctic Supply Plane,2014,65,374,https://cdn.rebrickable.com/media/sets/60064-1/2814.jpg,https://rebrickable.com/sets/60064-1/arctic-supply-plane/
31026-1,Bike Shop & Cafe,2014,672,1023,https://cdn.rebrickable.com/media/sets/31026-1/11404.jpg,https://rebrickable.com/sets/31026-1/bike-shop-cafe/
75043-1,AT-AP,2014,158,717,https://cdn.rebrickable.com/media/sets/75043-1/3078.jpg,https://rebrickable.com/sets/75043-1/at-ap/
79017-1,The Battle of the Five Armies,2014,562,472,https://cdn.rebrickable.com/media/sets/79017-1/7242.jpg,https://rebrickable.com/sets/79017-1/the-battle-of-the-five-armies/
75045-1,Republic AV-7 Anti-Vehicle Cannon,2014,158,434,https://cdn.rebrickable.com/media/sets/75045-1/16205.jpg,https://rebrickable.com/sets/75045-1/republic-av-7-anti-vehicle-cannon/
75052-1,Mos Eisley Cantina,2014,158,616,https://cdn.rebrickable.com/media/sets/75052-1/72546.jpg,https://rebrickable.com/sets/75052-1/mos-eisley-cantina/
60046-1,Helicopter Surveillance,2014,61,528,https://cdn.rebrickable.com/media/sets/60046-1/7304.jpg,https://rebrickable.com/sets/60046-1/helicopter-surveillance/
60060-1,Auto Transporter,2014,63,350,https://cdn.rebrickable.com/media/sets/60060-1/6355.jpg,https://rebrickable.com/sets/60060-1/auto-transporter/
75042-1,Droid Gunship,2014,158,439,https://cdn.rebrickable.com/media/sets/75042-1/167.jpg,https://rebrickable.com/sets/75042-1/droid-gunship/
60052-1,Cargo Train,2014,66,888,https://cdn.rebrickable.com/media/sets/60052-1/10913.jpg,https://rebrickable.com/sets/60052-1/cargo-train/
75054-1,AT-AT,2014,158,1138,https://cdn.rebrickable.com/media/sets/75054-1/5150.jpg,https://rebrickable.com/sets/75054-1/at-at/
76022-1,X-Men vs. The Sentinel,2014,707,337,https://cdn.rebrickable.com/media/sets/76022-1/7323.jpg,https://rebrickable.com/sets/76022-1/x-men-vs-the-sentinel/
76021-1,The Milano Spaceship Rescue,2014,704,667,https://cdn.rebrickable.com/media/sets/76021-1/3221.jpg,https://rebrickable.com/sets/76021-1/the-milano-spaceship-rescue/
70813-1,Rescue Reinforcements,2014,578,859,https://cdn.rebrickable.com/media/sets/70813-1/4844.jpg,https://rebrickable.com/sets/70813-1/rescue-reinforcements/
42029-1,Customized Pick up Truck,2014,1,1063,https://cdn.rebrickable.com/media/sets/42029-1/1890.jpg,https://rebrickable.com/sets/42029-1/customized-pick-up-truck/
60051-1,High-Speed Passenger Train,2014,66,606,https://cdn.rebrickable.com/media/sets/60051-1/11541.jpg,https://rebrickable.com/sets/60051-1/high-speed-passenger-train/
60044-1,Mobile Police Unit,2014,61,375,https://cdn.rebrickable.com/media/sets/60044-1/7388.jpg,https://rebrickable.com/sets/60044-1/mobile-police-unit/
70143-1,Sir Fangar's Sabre-Tooth Walker,2014,571,415,https://cdn.rebrickable.com/media/sets/70143-1/7691.jpg,https://rebrickable.com/sets/70143-1/sir-fangars-sabre-tooth-walker/
10242-1,MINI Cooper,2014,673,1077,https://cdn.rebrickable.com/media/sets/10242-1/15897.jpg,https://rebrickable.com/sets/10242-1/mini-cooper/
21115-1,The First Night,2014,577,408,https://cdn.rebrickable.com/media/sets/21115-1/7697.jpg,https://rebrickable.com/sets/21115-1/the-first-night/
70808-1,Super Cycle Chase,2014,578,514,https://cdn.rebrickable.com/media/sets/70808-1/3048.jpg,https://rebrickable.com/sets/70808-1/super-cycle-chase/
41039-1,Sunshine Ranch,2014,494,757,https://cdn.rebrickable.com/media/sets/41039-1/6589.jpg,https://rebrickable.com/sets/41039-1/sunshine-ranch/
70728-1,Battle for Ninjago City,2014,435,1224,https://cdn.rebrickable.com/media/sets/70728-1/2519.jpg,https://rebrickable.com/sets/70728-1/battle-for-ninjago-city/
60050-1,Train Station,2014,66,423,https://cdn.rebrickable.com/media/sets/60050-1/13224.jpg,https://rebrickable.com/sets/60050-1/train-station/
21020-1,Trevi Fountain,2014,252,731,https://cdn.rebrickable.com/media/sets/21020-1/13035.jpg,https://rebrickable.com/sets/21020-1/trevi-fountain/
10673-1,Race Car Rally,2014,591,350,https://cdn.rebrickable.com/media/sets/10673-1/1614.jpg,https://rebrickable.com/sets/10673-1/race-car-rally/
21108-1,Ghostbusters Ecto-1,2014,576,508,https://cdn.rebrickable.com/media/sets/21108-1/13726.jpg,https://rebrickable.com/sets/21108-1/ghostbusters-ecto-1/
75050-1,B-Wing,2014,158,448,https://cdn.rebrickable.com/media/sets/75050-1/7639.jpg,https://rebrickable.com/sets/75050-1/b-wing/
70145-1,Maula's Ice Mammoth Stomper,2014,571,604,https://cdn.rebrickable.com/media/sets/70145-1/5314.jpg,https://rebrickable.com/sets/70145-1/maulas-ice-mammoth-stomper/
41034-1,Summer Caravan,2014,494,313,https://cdn.rebrickable.com/media/sets/41034-1/9529.jpg,https://rebrickable.com/sets/41034-1/summer-caravan/
70009-1,Worriz's Combat Lair,2013,571,664,https://cdn.rebrickable.com/media/sets/70009-1/9668.jpg,https://rebrickable.com/sets/70009-1/worrizs-combat-lair/
60003-1,Fire Emergency,2013,58,301,https://cdn.rebrickable.com/media/sets/60003-1/12618.jpg,https://rebrickable.com/sets/60003-1/fire-emergency/
75024-1,HH-87 Starhopper,2013,158,362,https://cdn.rebrickable.com/media/sets/75024-1/9741.jpg,https://rebrickable.com/sets/75024-1/hh-87-starhopper/
70014-1,The Croc Swamp Hideout,2013,571,647,https://cdn.rebrickable.com/media/sets/70014-1/7462.jpg,https://rebrickable.com/sets/70014-1/the-croc-swamp-hideout/
